Uhrzeit_start,KreuzungsID,AmpelID,Fruehestens_gruen,Spaetestens_gruen,Fruehestens_rot,Spaetestens_rot,Zyklus
00:00,111,35,56,56,17,17,60
01:00,111,35,56,56,17,17,60
02:00,111,35,56,56,17,17,60
03:00,111,35,56,56,17,17,60
04:00,111,35,56,56,17,17,60
05:00,111,35,32,32,39,39,72
06:00,111,35,80,80,23,23,90
07:00,111,35,80,80,23,23,90
08:00,111,35,80,80,23,23,90
09:00,111,35,82,82,22,22,90
10:00,111,35,82,82,22,22,90
11:00,111,35,82,82,22,22,90
12:00,111,35,82,82,22,22,90
13:00,111,35,82,82,22,22,90
14:00,111,35,82,82,22,22,90
15:00,111,35,82,82,22,22,90
16:00,111,35,82,82,22,22,90
17:00,111,35,82,82,22,22,90
18:00,111,35,82,82,22,22,90
19:00,111,35,82,82,22,22,90
20:00,111,35,82,82,22,22,90
21:00,111,35,32,32,39,39,72
22:00,111,35,32,32,39,39,72
23:00,111,35,32,32,39,39,72
00:00,111,34,23,23,50,50,60
01:00,111,34,23,23,50,50,60
02:00,111,34,23,23,50,50,60
03:00,111,34,23,23,50,50,60
04:00,111,34,23,23,50,50,60
05:00,111,34,32,32,65,65,72
06:00,111,34,29,29,76,76,90
07:00,111,34,29,29,76,76,90
08:00,111,34,29,29,76,76,90
09:00,111,34,29,29,76,76,90
10:00,111,34,29,29,76,76,90
11:00,111,34,29,29,76,76,90
12:00,111,34,29,29,76,76,90
13:00,111,34,29,29,76,76,90
14:00,111,34,29,29,76,76,90
15:00,111,34,29,29,76,76,90
16:00,111,34,29,29,76,76,90
17:00,111,34,29,29,76,76,90
18:00,111,34,29,29,76,76,90
19:00,111,34,29,29,76,76,90
20:00,111,34,29,29,76,76,90
21:00,111,34,32,32,65,65,72
22:00,111,34,32,32,65,65,72
23:00,111,34,32,32,65,65,72
00:00,111,31,34,39,52,52,60
01:00,111,31,34,39,52,52,60
02:00,111,31,34,39,52,52,60
03:00,111,31,34,39,52,52,60
04:00,111,31,34,39,52,52,60
05:00,111,31,46,53,65,65,72
06:00,111,31,46,54,74,74,90
07:00,111,31,46,54,74,74,90
08:00,111,31,46,54,74,74,90
09:00,111,31,46,51,71,71,90
10:00,111,31,46,51,71,71,90
11:00,111,31,46,51,71,71,90
12:00,111,31,46,51,71,71,90
13:00,111,31,46,51,71,71,90
14:00,111,31,46,51,71,71,90
15:00,111,31,46,51,71,71,90
16:00,111,31,46,51,71,71,90
17:00,111,31,46,51,71,71,90
18:00,111,31,46,51,71,71,90
19:00,111,31,46,51,71,71,90
20:00,111,31,46,51,71,71,90
21:00,111,31,46,53,65,65,72
22:00,111,31,46,53,65,65,72
23:00,111,31,46,53,65,65,72
00:00,111,30,34,39,15,15,60
01:00,111,30,34,39,15,15,60
02:00,111,30,34,39,15,15,60
03:00,111,30,34,39,15,15,60
04:00,111,30,34,39,15,15,60
05:00,111,30,45,51,18,18,72
06:00,111,30,45,53,9,9,90
07:00,111,30,45,53,9,9,90
08:00,111,30,45,53,9,9,90
09:00,111,30,45,51,11,11,90
10:00,111,30,45,51,11,11,90
11:00,111,30,45,51,11,11,90
12:00,111,30,45,51,11,11,90
13:00,111,30,45,51,11,11,90
14:00,111,30,45,51,11,11,90
15:00,111,30,45,51,11,11,90
16:00,111,30,45,51,11,11,90
17:00,111,30,45,51,11,11,90
18:00,111,30,45,51,11,11,90
19:00,111,30,45,51,11,11,90
20:00,111,30,45,51,11,11,90
21:00,111,30,45,51,18,18,72
22:00,111,30,45,51,18,18,72
23:00,111,30,45,51,18,18,72
00:00,112,24,49,49,27,27,60
01:00,112,24,AUS,AUS,AUS,AUS,AUS
02:00,112,24,AUS,AUS,AUS,AUS,AUS
03:00,112,24,AUS,AUS,AUS,AUS,AUS
04:00,112,24,AUS,AUS,AUS,AUS,AUS
05:00,112,24,53,53,30,30,72
06:00,112,24,56,56,31,31,90
07:00,112,24,56,56,31,31,90
08:00,112,24,56,56,31,31,90
09:00,112,24,56,56,31,31,90
10:00,112,24,56,56,31,31,90
11:00,112,24,56,56,31,31,90
12:00,112,24,56,56,31,31,90
13:00,112,24,56,56,31,31,90
14:00,112,24,56,56,31,31,90
15:00,112,24,56,56,31,31,90
16:00,112,24,56,56,31,31,90
17:00,112,24,56,56,31,31,90
18:00,112,24,56,56,31,31,90
19:00,112,24,56,56,31,31,90
20:00,112,24,56,56,31,31,90
21:00,112,24,53,53,30,30,72
22:00,112,24,53,53,30,30,72
23:00,112,24,53,53,30,30,72
00:00,113,24,41,41,58,58,60
01:00,113,24,AUS,AUS,AUS,AUS,AUS
02:00,113,24,AUS,AUS,AUS,AUS,AUS
03:00,113,24,AUS,AUS,AUS,AUS,AUS
04:00,113,24,AUS,AUS,AUS,AUS,AUS
05:00,113,24,43,43,68,68,72
06:00,113,24,38,38,77,77,90
07:00,113,24,38,38,77,77,90
08:00,113,24,38,38,77,77,90
09:00,113,24,38,38,77,77,90
10:00,113,24,38,38,77,77,90
11:00,113,24,38,38,77,77,90
12:00,113,24,38,38,77,77,90
13:00,113,24,38,38,77,77,90
14:00,113,24,38,38,77,77,90
15:00,113,24,38,38,77,77,90
16:00,113,24,38,38,77,77,90
17:00,113,24,38,38,77,77,90
18:00,113,24,38,38,77,77,90
19:00,113,24,38,38,77,77,90
20:00,113,24,38,38,77,77,90
21:00,113,24,43,43,68,68,72
